Hotel,Stars, Price for this weekend (April 30 - May 03) , (May 07 - May 10) for 2 adults ,Percentage of price change next weekend,Average price for further weekend,Percentage of price change Avg. further weekend, (May 14 - May 17) for 2 adults , (May 21 - May 24) for 2 adults , (May 28 - May 31) for 2 adults , (Jun 04 - Jun 07) for 2 adults , (Jun 11 - Jun 14) for 2 adults , (Jun 18 - Jun 21) for 2 adults 
MGM Grand Hotel and Casino,4, $ 924.00 , $ 674.00 ,27%, $ 596.29 ,35%, $ 760.00 , $ 669.00 , $ 621.00 , $ 363.00 , $ 460.00 , $ 627.00 
Four Queens Hotel and Casino,3, $ 915.00 , $ 259.00 ,72%, $ 269.29 ,71%, $ 289.00 , $ 368.00 , $ 220.00 , $ 194.00 , $ 188.00 , $ 367.00 
Residence Inn Las Vegas South,3, $ 893.00 , $ 512.00 ,43%, $ 585.50 ,34%, $ 842.00 , $ 635.00 ,, $ 501.00 , $ 444.00 , $ 579.00 
Westgate Flamingo Bay at Las Vegas,3, $ 861.00 , $ 531.00 ,38%, $ 434.50 ,50%, $ 531.00 ,, $ 275.00 , $ 275.00 , $ 357.00 , $ 638.00 
Las Vegas Marriott,4, $ 859.00 , $ 592.00 ,31%, $ 494.00 ,42%, $ 635.00 , $ 613.00 , $ 389.00 , $ 386.00 , $ 349.00 ,
Royal Vacation Suites Hotel Las Vegas,3, $ 835.00 , $ 269.00 ,68%, $ 265.17 ,68%, $ 272.00 ,, $ 275.00 , $ 147.00 , $ 136.00 , $ 492.00 
Paris Las Vegas Hotel,4, $ 825.00 , $ 498.00 ,40%, $ 563.71 ,32%, $ 687.00 , $ 713.00 , $ 624.00 , $ 389.00 , $ 381.00 , $ 654.00 
Residence Inn Las Vegas Convention Center,3, $ 825.00 , $ 576.00 ,30%, $ 453.33 ,45%, $ 651.00 , $ 524.00 , $ 349.00 , $ 318.00 , $ 302.00 ,
Tahiti Village,4, $ 817.00 , $ 418.00 ,49%, $ 512.86 ,37%, $ 536.00 , $ 676.00 , $ 426.00 , $ 427.00 , $ 446.00 , $ 661.00 
Mandalay Bay Resort & Casino,4, $ 815.00 ,,100%, $ 689.00 ,15%," $ 1,294.00 ", $ 701.00 ,, $ 413.00 , $ 426.00 , $ 611.00 
Tropicana Las Vegas,4, $ 813.00 , $ 408.00 ,50%, $ 416.14 ,49%, $ 592.00 , $ 485.00 , $ 317.00 , $ 320.00 , $ 290.00 , $ 501.00 
Best Western Plus Casino Royale,3, $ 798.00 , $ 412.00 ,48%, $ 489.43 ,39%, $ 596.00 , $ 554.00 , $ 487.00 , $ 361.00 , $ 395.00 , $ 621.00 
Four Seasons Hotel Las Vegas,5, $ 788.00 ," $ 1,000.00 ",-27%," $ 1,083.00 ",-37%,, $ 973.00 ," $ 2,013.00 ", $ 744.00 , $ 652.00 ," $ 1,116.00 "
Candlewood Suites Las Vegas,3, $ 782.00 , $ 286.00 ,63%, $ 292.86 ,63%, $ 310.00 , $ 314.00 , $ 273.00 , $ 251.00 , $ 240.00 , $ 376.00 
Renaissance Las Vegas Hotel,4, $ 769.00 , $ 344.00 ,55%, $ 424.29 ,45%, $ 422.00 , $ 381.00 , $ 456.00 , $ 422.00 , $ 321.00 , $ 624.00 
The Mirage Hotel & Casino,4, $ 766.00 , $ 566.00 ,26%, $ 589.57 ,23%, $ 844.00 , $ 666.00 , $ 600.00 , $ 407.00 , $ 472.00 , $ 572.00 
New York - New York Hotel and Casino,4, $ 757.00 , $ 492.00 ,35%, $ 515.00 ,32%, $ 694.00 , $ 605.00 , $ 578.00 , $ 326.00 , $ 344.00 , $ 566.00 
Holiday Inn Express Hotel and Suites Las Vegas 215 Beltway,3, $ 755.00 , $ 384.00 ,49%, $ 408.43 ,46%, $ 432.00 , $ 395.00 , $ 386.00 , $ 383.00 , $ 401.00 , $ 478.00 
Planet Hollywood Resort & Casino,4, $ 754.00 , $ 441.00 ,42%, $ 471.57 ,37%, $ 573.00 , $ 594.00 , $ 507.00 , $ 390.00 , $ 286.00 , $ 510.00 
